YEAR,RECORD_TYPE, NUMBER_SCRIPTS ,NDC9,PRODUCT_NDC,LAUNCH_YEAR,NPROPNAME,PROPNAME,GENERIC_DRUG_IND_CODE,THER_CLASS,LABELERNAME,DOSAGE_FORM,ACTIVE_STRENGTH,ACTIVE_STRENGTH_UNIT,PAYER, UNIQUE_MEMBERS ,TOTAL_COST,COST_PER_USER,COST_PER_SCRIPT,COST_PER_DAYS_SUPPLY,COST_PER_UNIT_DISPENSED, TOTAL_SCRIPTS_FILLED , DAYS_SUPPLY_MEDIAN , DAYS_SUPPLY_MEAN , DAYS_SUPPLY_STDDEV , QUANTITY_MEDIAN , QUANTITY_MEAN , QUANTITY_STDDEV ,INSURER_PAID_MEDIAN,INSURER_PAID_MEAN,INSURER_PAID_STDDEV,INSURER_PAID_SUM,MEMBER_PAID_MEDIAN,MEMBER_PAID_MEAN,MEMBER_PAID_STDDEV,MEMBER_PAID_SUM,TOTAL_PAID_MEDIAN,TOTAL_PAID_MEAN,TOTAL_PAID_STDDEV,TOTAL_PAID_SUM
2018,NDC," 1,802 ",578940150,57894-150,2011,ABIRATERONE ACETATE,ZYTIGA,Brand,Antineoplastic Agents,JANSSEN BIOTECH,TABLET,250,MG,Medicare, 300 ,"$17,686,518.48","$58,955.06","$9,814.94",$332.09,$84.13," 1,802 ", 30.0 , 29.6 , 3.4 , 120.0 , 116.7 , 30.0 ,"$9,851.29","$9,081.23","$2,140.69","$16,364,369.62",$514.76,$670.65,$866.67,"$1,208,503.27","$10,436.80","$9,814.94","$2,225.56","$17,686,518.48"
2018,NDC, 134 ,578940150,57894-150,2011,ABIRATERONE ACETATE,ZYTIGA,Brand,Antineoplastic Agents,JANSSEN BIOTECH,TABLET,250,MG,Minnesota Health Care Programs, 28 ,"$1,215,046.30","$43,394.51","$9,067.51",$317.66,$79.57, 134 , 30.0 , 28.5 , 4.5 , 120.0 , 114.0 , 24.3 ,"$10,176.13","$8,975.78","$2,228.13","$1,202,754.51",$1.50,$5.63,$8.17,$754.35,"$10,264.69","$9,067.51","$2,144.19","$1,215,046.30"
2018,NDC, 16 ,578940155,57894-155,2018,ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Antineoplastic Agents,PATRIOT PHARMACEUTICALS LLC,TABLET,250,MG,Medicare, 15 ,"$138,949.04","$9,263.27","$8,684.32",$272.45,$69.41, 16 , 30.0 , 31.9 , 7.5 , 120.0 , 125.1 , 31.6 ,"$7,842.43","$8,200.58","$2,547.69","$131,209.33",$412.76,$483.73,$467.86,"$7,739.71","$8,255.18","$8,684.32","$2,966.68","$138,949.04"
2018,NDC, 351 ,578940195,57894-195,2017,ABIRATERONE ACETATE,ZYTIGA,Brand,Antineoplastic Agents,JANSSEN BIOTECH,TABLET,500,MG,Commercial, 61 ,"$3,194,086.69","$52,362.08","$9,099.96",$338.54,$162.55, 351 , 30.0 , 26.9 , 7.0 , 60.0 , 56.0 , 19.8 ,"$9,952.38","$8,804.96","$2,530.36","$3,090,540.54",$10.00,$263.82,"$1,017.75","$92,600.59","$10,088.31","$9,099.96","$2,687.29","$3,194,086.69"
2018,NDC, 591 ,578940195,57894-195,2017,ABIRATERONE ACETATE,ZYTIGA,Brand,Antineoplastic Agents,JANSSEN BIOTECH,TABLET,500,MG,Medicare, 133 ,"$6,078,200.85","$45,700.76","$10,284.60",$341.40,$170.45, 591 , 30.0 , 30.1 , 5.5 , 60.0 , 60.3 , 15.2 ,"$9,780.61","$9,429.19","$2,535.04","$5,572,651.78",$523.10,$852.04,"$1,048.25","$503,556.44","$10,437.80","$10,284.60","$2,428.22","$6,078,200.85"
2018,NDC, 24 ,605054327,60505-4327,2018,ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Antineoplastic Agents,APOTEX,TABLET,250,MG,Commercial, 23 ,"$197,618.93","$8,592.13","$8,234.12",$263.49,$57.78, 24 , 30.0 , 31.3 , 6.1 , 120.0 , 142.5 , 80.7 ,"$8,433.55","$8,122.63","$1,869.56","$194,943.11",$0.00,$111.49,$321.95,"$2,675.82","$8,855.54","$8,234.12","$2,071.68","$197,618.93"
2018,NDC, 39 ,605054327,60505-4327,2018,ABIRATERONE ACETATE,ABIRATERONE ACETATE,Generic,Antineoplastic Agents,APOTEX,TABLET,250,MG,Medicare, 35 ,"$262,850.27","$7,510.01","$6,739.75",$213.70,$54.76, 39 , 30.0 , 31.5 , 6.7 , 120.0 , 123.1 , 70.8 ,"$6,972.90","$6,446.94","$2,438.47","$251,430.70",$210.33,$285.46,$370.85,"$11,132.91","$7,167.01","$6,739.75","$2,608.62","$262,850.27"
2018,NDC, 45 ,000935352,0093-5352,2016,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,TEVA PHARMACEUTICALS USA,TABLET DELAYED RELEASE,333,MG,Minnesota Health Care Programs, 20 ,"$4,956.28",$247.81,$110.14,$5.22,$1.01, 45 , 15.0 , 21.1 , 7.9 , 90.0 , 109.4 , 59.2 ,$72.97,$109.41,$51.00,"$4,923.64",$0.00,$0.53,$1.52,$24.00,$72.97,$110.14,$51.79,"$4,956.28"
2018,NDC, 85 ,003786333,0378-6333,2014,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,MYLAN,TABLET DELAYED RELEASE,333,MG,Commercial, 54 ,"$13,443.50",$248.95,$158.16,$4.89,$0.88, 85 , 30.0 , 32.3 , 14.4 , 180.0 , 179.5 , 66.7 ,$152.35,$128.85,$80.91,"$10,952.64",$12.00,$26.90,$46.21,"$2,286.45",$179.89,$158.16,$72.74,"$13,443.50"
2018,NDC, 113 ,003786333,0378-6333,2014,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,MYLAN,TABLET DELAYED RELEASE,333,MG,Medicare, 33 ,"$13,143.53",$398.29,$116.31,$4.50,$0.87, 113 , 29.0 , 25.9 , 14.7 , 168.0 , 134.1 , 81.9 ,$83.57,$92.59,$72.13,"$10,462.14",$0.41,$15.13,$43.58,"$1,709.24",$97.57,$116.31,$79.36,"$13,143.53"
2018,NDC, 179 ,003786333,0378-6333,2014,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,MYLAN,TABLET DELAYED RELEASE,333,MG,Minnesota Health Care Programs, 92 ,"$24,879.96",$270.43,$138.99,$5.13,$0.92, 179 , 30.0 , 27.1 , 6.9 , 180.0 , 151.3 , 48.4 ,$155.10,$137.96,$45.38,"$24,694.32",$0.00,$0.77,$1.67,$138.66,$156.05,$138.99,$45.67,"$24,879.96"
2018,NDC, 414 ,683820569,68382-569,2017,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,ZYDUS PHARMACEUTICALS (USA),TABLET DELAYED RELEASE,333,MG,Commercial, 193 ,"$75,863.46",$393.07,$183.25,$5.57,$0.97, 414 , 30.0 , 32.9 , 17.2 , 180.0 , 188.1 , 102.8 ,$155.47,$162.56,$133.83,"$67,301.26",$10.00,$20.66,$48.20,"$8,552.82",$175.10,$183.25,$132.71,"$75,863.46"
2018,NDC, 322 ,683820569,68382-569,2017,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,ZYDUS PHARMACEUTICALS (USA),TABLET DELAYED RELEASE,333,MG,Medicare, 99 ,"$55,750.59",$563.14,$173.14,$5.48,$1.04, 322 , 30.0 , 31.6 , 17.3 , 180.0 , 166.6 , 117.3 ,$163.39,$154.59,$121.99,"$49,776.99",$1.25,$18.46,$51.82,"$5,943.33",$166.75,$173.14,$121.73,"$55,750.59"
2018,NDC," 1,019 ",683820569,68382-569,2017,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,ZYDUS PHARMACEUTICALS (USA),TABLET DELAYED RELEASE,333,MG,Minnesota Health Care Programs, 370 ,"$152,673.12",$412.63,$149.83,$5.29,$0.96," 1,019 ", 30.0 , 28.3 , 5.2 , 180.0 , 156.8 , 44.7 ,$163.99,$148.28,$45.07,"$151,094.35",$0.00,$0.67,$1.52,$681.94,$166.77,$149.83,$44.22,"$152,673.12"
2018,NDC, 594 ,684620435,68462-435,2013,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,GLENMARK PHARMACEUTICALS,TABLET DELAYED RELEASE,333,MG,Commercial, 251 ,"$110,742.84",$441.21,$186.44,$5.36,$0.95, 594 , 30.0 , 34.8 , 18.5 , 180.0 , 196.6 , 118.2 ,$147.75,$159.61,$118.55,"$94,810.66",$10.00,$24.82,$70.25,"$14,740.16",$163.53,$186.44,$128.63,"$110,742.84"
2018,NDC, 708 ,684620435,68462-435,2013,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,GLENMARK PHARMACEUTICALS,TABLET DELAYED RELEASE,333,MG,Medicare, 183 ,"$111,785.28",$610.85,$157.89,$5.34,$0.97, 708 , 30.0 , 29.6 , 15.2 , 180.0 , 163.3 , 112.3 ,$149.08,$141.73,$99.68,"$100,347.13",$1.12,$13.37,$42.67,"$9,465.94",$163.48,$157.89,$110.30,"$111,785.28"
2018,NDC," 1,192 ",684620435,68462-435,2013,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Generic,Misc Psychotherapeutic/Neurolog,GLENMARK PHARMACEUTICALS,TABLET DELAYED RELEASE,333,MG,Minnesota Health Care Programs, 434 ,"$171,224.44",$394.53,$143.64,$5.16,$0.93," 1,192 ", 30.0 , 27.9 , 5.8 , 180.0 , 154.9 , 45.7 ,$155.95,$142.16,$49.25,"$169,454.88",$0.00,$0.53,$3.24,$626.68,$156.10,$143.64,$48.56,"$171,224.44"
2018,NDC, 29 ,477810340,47781-340,2008,ACARBOSE,ACARBOSE,Generic,Endocrine and Metabolic Drugs,ALVOGEN,TABLET,25,MG,Commercial, 15 ,"$1,129.62",$75.31,$38.95,$0.80,$0.30, 29 , 30.0 , 49.0 , 28.8 , 90.0 , 128.3 , 106.0 ,$31.43,$31.55,$22.77,$914.85,$0.00,$3.65,$6.15,$105.80,$40.23,$38.95,$30.64,"$1,129.62"
2018,NDC, 76 ,477810340,47781-340,2008,ACARBOSE,ACARBOSE,Generic,Endocrine and Metabolic Drugs,ALVOGEN,TABLET,25,MG,Medicare, 22 ,"$2,802.24",$127.37,$36.87,$1.07,$0.33, 76 , 30.0 , 34.4 , 18.2 , 90.0 , 112.1 , 94.6 ,$24.84,$29.53,$31.29,"$2,244.63",$1.25,$5.22,$10.62,$396.69,$26.75,$36.87,$36.15,"$2,802.24"
